0,1,2,3,4,5,6
-6,78,89,91,1,3,4
-6,72,96,73,1,3,4
-6,66,103,56,1,3,4
-6,60,110,40,1,3,4
-6,54,117,25,1,3,4
-6,48,730,11,1,3,4
-6,42,722,2,1,3,4
-6,36,714,14,1,3,4
-6,30,706,25,1,3,4
-6,24,698,35,1,3,4
-6,18,690,44,1,3,4
-6,12,682,52,1,3,4
-6,6,674,59,1,3,4
-6,0,666,65,1,3,4
-6,6,658,70,1,3,4
-6,12,650,74,1,3,4
-6,18,642,77,1,3,4
-6,24,634,79,1,3,4
-6,30,626,80,1,3,4
-6,36,618,80,1,3,4
-6,42,610,79,1,3,4
-6,48,602,77,1,3,4
-6,59,589,74,1,3,4
-6,70,576,70,1,3,4
-6,76,568,65,1,3,4
-6,87,555,59,1,3,4
-6,98,542,52,1,3,4
-6,109,529,44,1,3,4
-6,120,516,35,1,3,4
-6,126,508,25,0,3,4
-6,132,500,30,0,3,4
-6,138,492,35,0,3,4
-6,144,484,40,0,3,4
-6,150,476,45,0,3,4
-6,750,468,50,0,3,4
-7,743,460,55,0,3,4
-7,736,452,60,0,3,4
-7,729,444,65,0,3,4
-7,722,436,70,0,3,4
-7,715,428,75,0,3,4
-7,708,420,80,0,3,4
-7,701,412,85,0,3,4
-7,694,404,90,0,3,4
-7,687,396,95,0,3,4
-7,680,388,100,0,3,4
-7,673,380,300,0,3,4
-7,666,372,295,0,3,4
-7,659,364,290,0,3,4
-7,652,356,285,0,3,4
-7,645,348,280,0,3,4
-7,638,340,275,0,3,4
-7,631,332,270,0,3,4
-7,624,324,265,0,3,4
-7,617,316,260,0,3,4
-7,610,308,255,0,3,4
-7,603,300,250,0,3,4
-7,596,292,245,0,3,4
-7,589,284,240,0,3,4
-7,582,276,235,0,3,4
-7,575,268,230,0,3,4
-7,568,260,225,0,3,4
-7,561,252,220,0,3,4
-7,554,244,215,0,3,4
-7,547,236,210,0,3,4
-7,540,228,205,0,3,4
-7,533,220,200,0,3,4
-7,526,212,195,0,3,4
-7,519,204,190,0,3,4
-7,512,196,185,0,3,4
-7,505,188,180,0,3,4
-7,503,185,175,0,2,4
-7,501,182,170,0,2,4
-7,499,179,165,0,2,4
-7,497,176,160,0,2,4
-7,495,173,155,0,2,4
-7,493,170,150,0,2,4
-7,491,167,145,0,2,4
-7,489,164,140,0,2,4
